file CF_noEff CF_eff Delta_CF sigma_Delta_CF phase_noEff phase_Eff Delta_phase sigma_Delta_phase A_noEff Abar_noEff A_withEff Abar_withEff AxAbarRe_noEff AxAbarIm_noEff AxAbarRe_withEff AxAbarIm_withEff
autoRnd_182.out 0.366135 0.420445 0.0543094 0.00692284 64.6781 60.0083 -4.66977 0.268831 0.214219 0.00723059 0.0203714 0.000671239 0.000242559 0.000512629 2.87387e-06 4.97936e-06
autoRnd_183.out 0.570851 0.535014 -0.0358367 0.00695025 146.064 147.281 1.21647 0.285144 0.171973 0.0135943 0.0163766 0.00128364 -0.00110724 0.000745034 -9.46234e-06 6.07916e-06
autoRnd_184.out 0.328964 0.302764 -0.0261993 0.0069952 -123.641 -118.159 5.48234 0.301139 0.164232 0.0165067 0.0156413 0.00154145 -0.000494048 -0.000742441 -3.44489e-06 -6.43577e-06
autoRnd_185.out 0.174619 0.200353 0.0257344 0.00680184 169.502 175.677 6.17459 0.293108 0.167546 0.0160624 0.0159489 0.00158855 -0.000462066 8.5621e-05 -5.06163e-06 3.82653e-07
autoRnd_186.out 0.106783 0.198103 0.09132 0.00623839 -45.9501 -51.74 -5.78992 0.248276 0.159303 0.0163954 0.0151668 0.00157031 0.000193915 -0.000200455 2.9216e-06 -3.70471e-06
autoRnd_187.out 0.535762 0.575293 0.0395304 0.00697867 -0.611412 -3.45091 -2.8395 0.179341 0.153668 0.0122195 0.0146298 0.00121104 0.00100597 -1.07353e-05 1.01741e-05 -6.13528e-07
autoRnd_188.out 0.556945 0.543332 -0.0136127 0.00697475 40.4181 35.9479 -4.4702 0.27532 0.138047 0.0166582 0.0131432 0.0015857 0.000975088 0.000830395 9.16708e-06 6.64753e-06
autoRnd_189.out 0.591013 0.587225 -0.00378795 0.00702927 59.2094 58.6549 -0.554494 0.254458 0.130456 0.0159812 0.012418 0.00157052 0.000630749 0.00105848 5.95747e-06 9.78095e-06
autoRnd_19.out 0.644369 0.695396 0.0510276 0.00700183 -52.3419 -54.0516 -1.70971 0.273048 0.161396 0.0151516 0.0153805 0.00148352 0.0009627 -0.00124747 9.31485e-06 -1.28451e-05
autoRnd_190.out 0.0959883 0.113729 0.0177407 0.00690472 28.8552 52.8102 23.9551 0.280325 0.179198 0.0164349 0.0170611 0.00158237 0.000247598 0.000136428 1.85589e-06 2.44596e-06
autoRnd_191.out 0.270111 0.220161 -0.0499497 0.00674412 46.5053 45.3504 -1.15489 0.273679 0.187366 0.0113432 0.0178396 0.00107023 0.000395129 0.000416455 2.95403e-06 2.99038e-06
autoRnd_192.out 0.379338 0.402224 0.0228858 0.00700096 -138.847 -138.197 0.650345 0.281096 0.184151 0.0100794 0.0175322 0.000993209 -0.000530157 -0.000463343 -5.22107e-06 -4.66865e-06
autoRnd_193.out 0.428329 0.417859 -0.0104698 0.00699702 -89.3995 -92.8254 -3.42598 0.14337 0.188287 0.013699 0.0179253 0.00132026 1.15799e-05 -0.00110475 -4.87462e-07 -9.87703e-06
