|*Host*|*Location*|*ip0*|*eth0*|*ip1*|*eth1*|*Serial*|*Has ipmi*|
|trg001|D2C07|10.130.39.9|00:14:22:b0:c7:b9||00:14:22:b0:c7:ba|3N4122J|<div style='background-color:green'>x</div>|
|ttdaq01|d2c07|10.130.39.15|00:14:22:B0:C9:60||00:14:22:b0:c9:61|72h222j|<div style='background-color:green'>x</div>|
|ttdaq02|D2C01|10.130.20.28|00:04:23:C5:1A:28||00:04:23:C5:1A:29|BZDR60100472|<div style='background-color:green'>x</div>|
|ttecs01|D2C07|10.128.20.128|00:14:22:b0:ca:da||00:14:22:b0:ca:db|B88222J|<div style='background-color:green'>x</div>|
|tthvdcs01w|d2c06f39|10.130.20.29|00:14:22:B0:C9:04||00:14:22:B0:C9:03||<div style='background-color:green'>x</div>|
|vedaqa01|D2C04|10.130.20.12|00:04:23:C6:DD:18||00:04:23:C6:DD:19|BZDR55200844|<div style='background-color:green'>x</div>|
|vedaqa02|d2c07|10.130.39.17|00:14:22:B0:CA:32||00:14:22:b0:ca:33|jm4122g|<div style='background-color:green'>x</div>|
|vedaqc01|D2C04|10.130.20.49|00:04:23:C5:19:EC||00:04:23:C5:19:ED|BZDR60100468|<div style='background-color:green'>x</div>|
|vedaqc02|d2c07|10.130.39.18|00:14:22:B0:C6:03||00:14:22:b0:c6:04|6dc222j|<div style='background-color:green'>x</div>|
|vedcs01w|d2c04f37|10.130.20.7|00:14:22:B0:CF:9A||00:14:22:B0:CF:99|21r122j|<div style='background-color:green'>x</div>|
|vedcs02w|d2c04f38|10.130.20.13|00:14:22:B0:C4:48||00:14:22:B0:C4:47|h0r122j|<div style='background-color:green'>x</div>|
|*D3*||||||||
|pcd302|D3|10.130.1.18|00:07:E9:71:D8:B8|||CH169-331-891||
|dumtell01|d3d02f29|10.130.69.1|00:30:59:01:C7:e1|||40dlautl00267||
|dumtell02|d3d02f29|10.130.69.2|00:30:59:01:C8:98|||40dlautl00267||
|dumtell03|d3d02f29|10.130.69.3|00:30:59:01:C7:e5|||40dlautl00267||
|dumtell04|d3d02f29|10.130.69.4|00:30:59:01:C8:97|||40dlautl00267||
|dumtell05|d3d02f29|10.130.69.5|00:30:59:01:C8:96|||40dlautl00267||
|echugin01|D3B02F42|10.130.36.102|00:30:59:01:C9:0F|||HuginV1_01||
|echugin02|d3b02f29|10.130.36.103|00:30:59:01:C9:47|||4otcerhu001026||
|echugin03|d3b02f42|10.130.36.104|00:30:59:01:C9:13|||4otcerhu001005||
|ectell01|d3b02f29|10.130.36.21|00:30:59:01:C9:5D|||40dlautl00262||
|ectell02|d3b02f29|10.130.36.22|00:30:59:01:C8:A3|||40dlautl00058||
|ectell03|d3b02f29|10.130.36.23|00:30:59:01:C7:A1|||40dlautl00405||
|ectell04|d3b02f29|10.130.36.24|00:30:59:01:C3:E6|||40dlautl00351||
|ectell05|d3b02f29|10.130.36.25|00:30:59:01:C3:E4|||40dlautl00350||
|ectell06|d3b02f29|10.130.36.26|00:30:59:01:C7:9F|||40dlautl00074||
|ectell07|d3b02f29|10.130.36.27|00:30:59:01:c8:34|||40dlautl00356||
|ectell08|d3b02f29|10.130.36.28|00:30:59:01:C8:44|||40dlautl00343||
|ectell09|d3b02f29|10.130.36.29|00:30:59:01:C8:8C|||40dlautl00226||
|ectell10|d3b02f29|10.130.36.30|00:30:59:01:C8:8A|||40dlautl00150||
|ectell11|d3b02f29|10.130.36.31|00:30:59:01:C8:89|||40dlautl00325||
|ectell12|d3b02f29|10.130.36.32|00:30:59:01:C3:F9|||40dlautl00250||
|ectell13|d3b02f29|10.130.36.33|00:30:59:03:55:14|||40dlautl00277||
|ectell14|d3b02f42|10.130.36.34|00:30:59:01:C4:04|||40dlautl00084||
|ectell15|d3b02f42|10.130.36.35|00:30:59:01:C7:B7|||40dlautl00221||
|ectell16|d3b02f42|10.130.36.36|00:30:59:01:C7:9C|||40dlautl00293||
|ectell17|d3b02f42|10.130.36.37|00:30:59:01:C8:D4|||40dlautl00092||
|ectell18|d3b02f42|10.130.36.38|00:30:59:01:C7:9D|||40dlautl00292||
|ectell19|d3b02f42|10.130.36.39|00:30:59:01:C7:9A|||40dlautl00318||
|ectell20|d3b02f42|10.130.36.40|00:30:59:01:C7:9B|||40dlautl00314||
|ectell21|d3b02f42|10.130.36.41|00:30:59:01:C4:22|||40dlautl00182||
|ectell22|d3b02f42|10.130.36.42|00:30:59:01:C8:D5|||40dlautl00068||
|ectell23|d3b02f42|10.130.36.43|00:30:59:01:C8:CF|||40dlautl00089||
|ectell24|d3b02f42|10.130.36.44|00:30:59:01:C9:5C|||40dlautl00187||
|ectell25|d3b02f42|10.130.36.45|00:30:59:01:C8:D7|||40dlautl00081||
|ectell26|d3b02f42|10.130.36.46|00:30:59:01:C8:D0|||40dlautl00091||
|hchugin01|d3b01f29|10.130.36.100|00:30:59:01:C8:7C|||||
|hctell01|d3b01f29|10.130.36.1|00:30:59:01:C7:F8|||40dlautl00248||
|hctell02|d3b01f29|10.130.36.2|00:30:59:01:C8:90|||40dlautl00402||
|hctell03|d3b01f29|10.130.36.3|00:30:59:01:C8:8F|||40dlautl00070||
|hctell04|d3b01f29|10.130.36.4|00:30:59:01:C4:1F|||40dlautl00125||
|hctell05|d3b01f29|10.130.36.5|00:30:59:01:C8:8D|||40dlautl00124||
|hctell06|d3b01f29|10.130.36.6|00:30:59:01:C7:F3|||40dlautl00168||
|hctell07|d3b01f29|10.130.36.7|00:30:59:01:C8:27|||40dlautl00348||
|hctell08|d3b01f29|10.130.36.8|00:30:59:01:C8:92|||40dlautl00165||
|ithugin01|d3d07f29|10.130.33.100|00:30:59:01:C8:4E|||40tcerhu001008||
|ithugin02|d3d07f29|10.130.33.101|00:30:59:01:C9:10|||40tcerhu001002||
|ithugin03|d3d07f42|10.130.33.102|00:30:59:01:C8:55|||40tcerhu001015||
|ithugin04|d3d08f42|10.130.33.103|00:30:59:01:C8:56|||40tcerhu001016||
|ittell01|d3d08f42|10.130.33.1|00:30:59:01:C3:D4|||40dlautl00282||
|ittell02|d3d08f42|10.130.33.2|00:30:59:01:C8:4C|||40dlautl00311||
